ARNTL	116	0.0423821702594081	0.00918644077799976	1e-05
Atf1	138	0.0362394957983193	0.00918644077799976	1e-05
ATF7	101	0.062039312039312	0.00918644077799976	1e-05
Bhlhe40	139	0.0301649305555556	0.00918644077799976	1e-05
CREB3	322	0.0300934579439252	0.00918644077799976	1e-05
Creb3l2	163	0.0268312757201646	0.00918644077799976	1e-05
CTCF	1909	0.207703187901208	0.00918644077799976	1e-05
E2F1	362	0.0503967701517472	0.00918644077799976	1e-05
Egr1	659	0.0325689433626569	0.00918644077799976	1e-05
EGR4	365	0.0269731007981082	0.00918644077799976	1e-05
ESRRA	114	0.0144982830980542	0.00918644077799976	1e-05
Ets1	109	0.0240141000220313	0.00918644077799976	1e-05
ETV6	149	0.0204614117000824	0.00918644077799976	1e-05
Gabpa	256	0.0177309876714226	0.00918644077799976	1e-05
GLIS2	128	0.022658877677465	0.00918644077799976	1e-05
Gmeb1	106	0.0289459311851447	0.00918644077799976	1e-05
KLF13	593	0.115865572489254	0.00918644077799976	1e-05
KLF16	629	0.0564530604918327	0.00918644077799976	1e-05
Klf4	599	0.0555143651529194	0.00918644077799976	1e-05
Klf7	921	0.0572511966183875	0.00918644077799976	1e-05
Max	296	0.0370046255781973	0.00918644077799976	1e-05
Mycn	111	0.0186523273399429	0.00918644077799976	1e-05
NFYA	161	0.110123119015048	0.00918644077799976	1e-05
NFYB	115	0.102222222222222	0.00918644077799976	1e-05
NRF1	809	0.102756255556967	0.00918644077799976	1e-05
Rara	166	0.0165536497806143	0.00918644077799976	1e-05
RARG	212	0.0248913936832218	0.00918644077799976	1e-05
Rxra	169	0.0202492211838006	0.00918644077799976	1e-05
Smad3	565	0.0366478562625673	0.00918644077799976	1e-05
SP2	807	0.0486731001206273	0.00918644077799976	1e-05
SP3	650	0.0509803921568627	0.00918644077799976	1e-05
Srebf1	113	0.056471764117941	0.00918644077799976	1e-05
SREBF2	123	0.0452538631346578	0.00918644077799976	1e-05
TFE3	161	0.0334302325581395	0.00918644077799976	1e-05
TFEB	142	0.0400564174894217	0.00918644077799976	1e-05
USF1	185	0.0441106342393896	0.00918644077799976	1e-05
USF2	143	0.0542282897231703	0.00918644077799976	1e-05
XBP1	136	0.0285954583683768	0.00918644077799976	1e-05
Zfp410	347	0.0238914899476728	0.00918644077799976	1e-05
Zfp740	170	0.0123744358713059	0.00918644077799976	0.000238458436824034
